Date,Actual Cases,Cases Prediction,Cases Accuracy,Actual Deaths,Deaths Prediction,Deaths Accuracy
5/4/2020,1735,1804,0.96,73,74,0.99
6/4/2020,1755,1865,0.94,79,79,1
7/4/2020,1832,1891,0.97,81,85,0.95
8/4/2020,1884,1929,0.98,83,89,0.93
9/4/2020,1955,1963,0.99,86,91,0.94
10/4/2020,2011,2005,0.99,90,94,0.96
11/4/2020,2083,2045,0.98,93,97,0.96
12/4/2020,2114,2093,0.99,98,98,1
13/4/2020,2145,2128,0.99,99,101,0.98
14/4/2020,2170,2152,0.99,101,102,0.99
15/4/2020,2192,2168,0.98,102,102,1
16/4/2020,2207,2177,0.98,105,103,0.98
17/4/2020,,,,,,
